,url,app,lang_key,restriction,keyword
179,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,multi factor authentication
180,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,multi factor verification
181,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,account verification
182,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,authentication
183,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,google authentication
184,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,2 factor verification
185,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,2-factor authentication
186,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,2-factor verification
187,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,2fa
188,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,account authentication
189,app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,bruteforce
190,app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,failed
191,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,2 factor authentication
192,app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,logins
193,app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,lock
194,app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,brute
195,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new signin email
196,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new sign in email
197,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new log in email
198,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new login email
199,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new authorized device email
200,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new browser email
201,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new device email
202,app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new authorised device email
203,app=core&module=settings&controller=login&do=settings&searchResult=form_logins_over_https,core,logins_over_https,login_manage,ssl
204,app=core&module=settings&controller=login&do=settings&searchResult=disable_anonymous,core,disable_anonymous,login_manage,anonymous login
205,app=core&module=settings&controller=login&do=settings&searchResult=form_logins_over_https,core,logins_over_https,login_manage,secure logins
206,app=core&module=settings&controller=login&do=settings&searchResult=form_logins_over_https,core,logins_over_https,login_manage,https
207,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,ldap
208,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,locking
209,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,login
210,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,microsoft
211,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,twitter
212,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,windows
213,app=core&module=settings&controller=login&do=settings&searchResult=disable_anonymous,core,disable_anonymous,login_manage,anonymous
214,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,https
215,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,ips connect
216,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,facebook
217,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,google
218,app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,accounts
219,app=core&module=settings&controller=general&searchResult=form_upgrade_email,core,upgrade_email,general_manage,update
220,app=core&module=settings&controller=licensekey,core,menu__core_settings_licensekey,licensekey_manage,license key
221,app=core&module=settings&controller=general&searchResult=form_upgrade_email,core,upgrade_email,general_manage,upgrade
222,app=core&module=settings&controller=general&searchResult=form_site_social_profiles,core,site_social_profiles,general_manage,facebook
223,app=core&module=settings&controller=general&searchResult=form_site_social_profiles,core,site_social_profiles,general_manage,social profile
224,app=core&module=settings&controller=general&searchResult=form_site_social_profiles,core,site_social_profiles,general_manage,twitter
225,app=core&module=settings&controller=general&searchResult=form_site_online,core,site_online,general_manage,online
226,app=core&module=settings&controller=general&searchResult=form_site_online,core,site_online,general_manage,offline
227,app=core&module=settings&controller=general&searchResult=form_show_home_link,core,show_home_link,general_manage,navigation
228,app=core&module=settings&controller=general&searchResult=form_site_address,core,site_address,general_manage,mail
229,app=core&module=settings&controller=general&searchResult=form_site_address,core,site_address,general_manage,address
230,app=core&module=settings&controller=general&searchResult=form_show_home_link,core,show_home_link,general_manage,breadcrumb
231,app=core&module=settings&controller=general&searchResult=form_diagnostics_reporting,core,diagnostics_reporting,general_manage,reports
